----------------------------------------
Begin PBS Prologue Fri Jan 27 19:45:02 EST 2017 1485564302
Job ID:		77173546.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		aw-4r14-n19
End PBS Prologue Fri Jan 27 19:45:02 EST 2017 1485564302
----------------------------------------
Unsteady: 100000, 1.000000, 0, 0, vanleer, 0.200000, 0.200000, 1
setup: Selected Van Leer flux
Euler1dExplicit: Using 1-stage TVD RK scheme; loaded coefficients.
Euler1dExplicit: run(): Step 1050 - Time = 0.001367
Euler1dExplicit: run(): Step 1060 - Time = 0.001380
Euler1dExplicit: run(): Step 1070 - Time = 0.001393
Euler1dExplicit: run(): Step 1080 - Time = 0.001406
Euler1dExplicit: run(): Step 1090 - Time = 0.001419
Euler1dExplicit: run(): Step 1100 - Time = 0.001432
Euler1dExplicit: run(): Step 1110 - Time = 0.001445
Euler1dExplicit: run(): Step 1120 - Time = 0.001458
Euler1dExplicit: run(): Step 1130 - Time = 0.001471
Euler1dExplicit: run(): Step 1140 - Time = 0.001484
Euler1dExplicit: run(): Step 1150 - Time = 0.001497
Euler1dExplicit: run(): Step 1160 - Time = 0.001510
Euler1dExplicit: run(): Step 1170 - Time = 0.001523
Euler1dExplicit: run(): Step 1180 - Time = 0.001535
Euler1dExplicit: run(): Step 1190 - Time = 0.001548
Euler1dExplicit: run(): Step 1200 - Time = 0.001561
Euler1dExplicit: run(): Step 1210 - Time = 0.001574
Euler1dExplicit: run(): Step 1220 - Time = 0.001587
Euler1dExplicit: run(): Step 1230 - Time = 0.001600
Euler1dExplicit: run(): Step 1240 - Time = 0.001613
Euler1dExplicit: run(): Step 1250 - Time = 0.001626
Euler1dExplicit: run(): Step 1260 - Time = 0.001639
Euler1dExplicit: run(): Step 1270 - Time = 0.001652
Euler1dExplicit: run(): Step 1280 - Time = 0.001665
Euler1dExplicit: run(): Step 1290 - Time = 0.001678
Euler1dExplicit: run(): Step 1300 - Time = 0.001691
Euler1dExplicit: run(): Step 1310 - Time = 0.001704
Euler1dExplicit: run(): Step 1320 - Time = 0.001717
Euler1dExplicit: run(): Step 1330 - Time = 0.001730
Euler1dExplicit: run(): Step 1340 - Time = 0.001743
Euler1dExplicit: run(): Step 1350 - Time = 0.001756
Euler1dExplicit: run(): Step 1360 - Time = 0.001769
Euler1dExplicit: run(): Step 1370 - Time = 0.001782
Euler1dExplicit: run(): Step 1380 - Time = 0.001795
Euler1dExplicit: run(): Step 1390 - Time = 0.001808
Euler1dExplicit: run(): Step 1400 - Time = 0.001821
Euler1dExplicit: run(): Step 1410 - Time = 0.001834
Euler1dExplicit: run(): Step 1420 - Time = 0.001847
Euler1dExplicit: run(): Step 1430 - Time = 0.001860
Euler1dExplicit: run(): Step 1440 - Time = 0.001873
Euler1dExplicit: run(): Step 1450 - Time = 0.001886
Euler1dExplicit: run(): Step 1460 - Time = 0.001899
Euler1dExplicit: run(): Step 1470 - Time = 0.001912
Euler1dExplicit: run(): Step 1480 - Time = 0.001925
Euler1dExplicit: run(): Step 1490 - Time = 0.001938
Euler1dExplicit: run(): Step 1500 - Time = 0.001951
Euler1dExplicit: run(): Step 1510 - Time = 0.001964
Euler1dExplicit: run(): Step 1520 - Time = 0.001977
Euler1dExplicit: run(): Step 1530 - Time = 0.001990
Euler1dExplicit: run(): Step 1540 - Time = 0.002003
Euler1dExplicit: run(): Step 1550 - Time = 0.002016
Euler1dExplicit: run(): Step 1560 - Time = 0.002029
Euler1dExplicit: run(): Step 1570 - Time = 0.002042
Euler1dExplicit: run(): Step 1580 - Time = 0.002055
Euler1dExplicit: run(): Step 1590 - Time = 0.002068
Euler1dExplicit: run(): Step 1600 - Time = 0.002081
Euler1dExplicit: run(): Step 1610 - Time = 0.002094
Euler1dExplicit: run(): Step 1620 - Time = 0.002107
Euler1dExplicit: run(): Step 1630 - Time = 0.002120
Euler1dExplicit: run(): Step 1640 - Time = 0.002133
Euler1dExplicit: run(): Step 1650 - Time = 0.002146
Euler1dExplicit: run(): Step 1660 - Time = 0.002159
Euler1dExplicit: run(): Step 1670 - Time = 0.002172
Euler1dExplicit: run(): Step 1680 - Time = 0.002185
Euler1dExplicit: run(): Step 1690 - Time = 0.002198
Euler1dExplicit: run(): Step 1700 - Time = 0.002211
Euler1dExplicit: run(): Step 1710 - Time = 0.002224
Euler1dExplicit: run(): Step 1720 - Time = 0.002237
Euler1dExplicit: run(): Step 1730 - Time = 0.002250
Euler1dExplicit: run(): Step 1740 - Time = 0.002263
Euler1dExplicit: run(): Step 1750 - Time = 0.002276
Euler1dExplicit: run(): Step 1760 - Time = 0.002289
Euler1dExplicit: run(): Step 1770 - Time = 0.002302
Euler1dExplicit: run(): Step 1780 - Time = 0.002315
Euler1dExplicit: run(): Step 1790 - Time = 0.002328
Euler1dExplicit: run(): Step 1800 - Time = 0.002341
Euler1dExplicit: run(): Step 1810 - Time = 0.002354
Euler1dExplicit: run(): Step 1820 - Time = 0.002367
Euler1dExplicit: run(): Step 1830 - Time = 0.002380
Euler1dExplicit: run(): Step 1840 - Time = 0.002393
Euler1dExplicit: run(): Step 1850 - Time = 0.002406
Euler1dExplicit: run(): Step 1860 - Time = 0.002419
Euler1dExplicit: run(): Step 1870 - Time = 0.002432
Euler1dExplicit: run(): Step 1880 - Time = 0.002445
Euler1dExplicit: run(): Step 1890 - Time = 0.002458
Euler1dExplicit: run(): Step 1900 - Time = 0.002471
Euler1dExplicit: run(): Step 1910 - Time = 0.002484
Euler1dExplicit: run(): Step 1920 - Time = 0.002497
Euler1dExplicit: run(): Step 1930 - Time = 0.002510
Euler1dExplicit: run(): Step 1940 - Time = 0.002523
Euler1dExplicit: run(): Step 1950 - Time = 0.002536
Euler1dExplicit: run(): Step 1960 - Time = 0.002549
Euler1dExplicit: run(): Step 1970 - Time = 0.002562
Euler1dExplicit: run(): Step 1980 - Time = 0.002575
Euler1dExplicit: run(): Step 1990 - Time = 0.002588
Euler1dExplicit: run(): Step 2000 - Time = 0.002601
Euler1dExplicit: run(): Step 2010 - Time = 0.002614
Euler1dExplicit: run(): Step 2020 - Time = 0.002627
Euler1dExplicit: run(): Step 2030 - Time = 0.002640
Euler1dExplicit: run(): Step 2040 - Time = 0.002653
Euler1dExplicit: run(): Step 2050 - Time = 0.002666
Euler1dExplicit: run(): Step 2060 - Time = 0.002679
Euler1dExplicit: run(): Step 2070 - Time = 0.002692
Euler1dExplicit: run(): Step 2080 - Time = 0.002705
Euler1dExplicit: run(): Step 2090 - Time = 0.002718
Euler1dExplicit: run(): Step 2100 - Time = 0.002731
Euler1dExplicit: run(): Step 2110 - Time = 0.002744
Euler1dExplicit: run(): Step 2120 - Time = 0.002757
Euler1dExplicit: run(): Step 2130 - Time = 0.002770
Euler1dExplicit: run(): Step 2140 - Time = 0.002783
Euler1dExplicit: run(): Step 2150 - Time = 0.002796
Euler1dExplicit: run(): Step 2160 - Time = 0.002808
Euler1dExplicit: run(): Step 2170 - Time = 0.002821
Euler1dExplicit: run(): Step 2180 - Time = 0.002834
