----------------------------------------
Begin PBS Prologue Fri Jan 27 17:58:30 EST 2017 1485557910
Job ID:		77167962.gm-1r16-n04.guillimin.clumeq.ca
Username:	akashi
Group:		rck-371-01
Nodes:		aw-4r14-n26
End PBS Prologue Fri Jan 27 17:58:30 EST 2017 1485557910
----------------------------------------
Unsteady: 10000, 1.000000, 0, 0, vanleer, 0.200000, 0.200000, 1
setup: Selected Van Leer flux
Euler1dExplicit: Using 1-stage TVD RK scheme; loaded coefficients.
Euler1dExplicit: run(): Step 1050 - Time = 0.013666
Euler1dExplicit: run(): Step 1060 - Time = 0.013796
Euler1dExplicit: run(): Step 1070 - Time = 0.013926
Euler1dExplicit: run(): Step 1080 - Time = 0.014056
Euler1dExplicit: run(): Step 1090 - Time = 0.014186
Euler1dExplicit: run(): Step 1100 - Time = 0.014316
Euler1dExplicit: run(): Step 1110 - Time = 0.014446
Euler1dExplicit: run(): Step 1120 - Time = 0.014576
Euler1dExplicit: run(): Step 1130 - Time = 0.014705
Euler1dExplicit: run(): Step 1140 - Time = 0.014835
Euler1dExplicit: run(): Step 1150 - Time = 0.014965
Euler1dExplicit: run(): Step 1160 - Time = 0.015095
Euler1dExplicit: run(): Step 1170 - Time = 0.015225
Euler1dExplicit: run(): Step 1180 - Time = 0.015355
Euler1dExplicit: run(): Step 1190 - Time = 0.015485
Euler1dExplicit: run(): Step 1200 - Time = 0.015615
Euler1dExplicit: run(): Step 1210 - Time = 0.015745
Euler1dExplicit: run(): Step 1220 - Time = 0.015875
Euler1dExplicit: run(): Step 1230 - Time = 0.016004
Euler1dExplicit: run(): Step 1240 - Time = 0.016134
Euler1dExplicit: run(): Step 1250 - Time = 0.016264
Euler1dExplicit: run(): Step 1260 - Time = 0.016394
Euler1dExplicit: run(): Step 1270 - Time = 0.016524
Euler1dExplicit: run(): Step 1280 - Time = 0.016654
Euler1dExplicit: run(): Step 1290 - Time = 0.016784
Euler1dExplicit: run(): Step 1300 - Time = 0.016914
Euler1dExplicit: run(): Step 1310 - Time = 0.017044
Euler1dExplicit: run(): Step 1320 - Time = 0.017174
Euler1dExplicit: run(): Step 1330 - Time = 0.017303
Euler1dExplicit: run(): Step 1340 - Time = 0.017433
Euler1dExplicit: run(): Step 1350 - Time = 0.017563
Euler1dExplicit: run(): Step 1360 - Time = 0.017693
Euler1dExplicit: run(): Step 1370 - Time = 0.017823
Euler1dExplicit: run(): Step 1380 - Time = 0.017953
Euler1dExplicit: run(): Step 1390 - Time = 0.018083
Euler1dExplicit: run(): Step 1400 - Time = 0.018213
Euler1dExplicit: run(): Step 1410 - Time = 0.018343
Euler1dExplicit: run(): Step 1420 - Time = 0.018473
Euler1dExplicit: run(): Step 1430 - Time = 0.018602
Euler1dExplicit: run(): Step 1440 - Time = 0.018732
Euler1dExplicit: run(): Step 1450 - Time = 0.018862
Euler1dExplicit: run(): Step 1460 - Time = 0.018992
Euler1dExplicit: run(): Step 1470 - Time = 0.019122
Euler1dExplicit: run(): Step 1480 - Time = 0.019252
Euler1dExplicit: run(): Step 1490 - Time = 0.019382
Euler1dExplicit: run(): Step 1500 - Time = 0.019512
Euler1dExplicit: run(): Step 1510 - Time = 0.019642
Euler1dExplicit: run(): Step 1520 - Time = 0.019771
Euler1dExplicit: run(): Step 1530 - Time = 0.019901
Euler1dExplicit: run(): Step 1540 - Time = 0.020031
Euler1dExplicit: run(): Step 1550 - Time = 0.020161
Euler1dExplicit: run(): Step 1560 - Time = 0.020291
Euler1dExplicit: run(): Step 1570 - Time = 0.020421
Euler1dExplicit: run(): Step 1580 - Time = 0.020551
Euler1dExplicit: run(): Step 1590 - Time = 0.020681
Euler1dExplicit: run(): Step 1600 - Time = 0.020811
Euler1dExplicit: run(): Step 1610 - Time = 0.020941
Euler1dExplicit: run(): Step 1620 - Time = 0.021070
Euler1dExplicit: run(): Step 1630 - Time = 0.021200
Euler1dExplicit: run(): Step 1640 - Time = 0.021330
Euler1dExplicit: run(): Step 1650 - Time = 0.021460
Euler1dExplicit: run(): Step 1660 - Time = 0.021590
Euler1dExplicit: run(): Step 1670 - Time = 0.021720
Euler1dExplicit: run(): Step 1680 - Time = 0.021850
Euler1dExplicit: run(): Step 1690 - Time = 0.021980
Euler1dExplicit: run(): Step 1700 - Time = 0.022110
Euler1dExplicit: run(): Step 1710 - Time = 0.022240
Euler1dExplicit: run(): Step 1720 - Time = 0.022369
